,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,98.84%,2.85%,76.37%,64.23%,91.76%,25.49%,97.98%,12.50%,91.24%,26.27%,
1,MaxLogit,97.40%,14.96%,79.04%,60.23%,86.13%,58.82%,95.53%,37.50%,89.53%,42.88%,
2,Energy,96.98%,18.05%,79.04%,60.47%,85.69%,60.78%,95.32%,37.50%,89.26%,44.20%,
3,Energy+React,96.96%,19.00%,78.82%,61.26%,86.72%,64.71%,95.31%,37.50%,89.45%,45.62%,
4,Residual-DIM:0,50.82%,93.59%,48.07%,88.26%,34.77%,94.12%,24.96%,100.00%,39.65%,93.99%,
5,Residual-DIM:20,90.57%,86.94%,64.10%,96.73%,95.17%,26.47%,79.75%,87.50%,82.40%,74.41%,
6,Residual-DIM:40,93.13%,47.51%,66.67%,95.76%,96.17%,24.51%,83.92%,87.50%,84.97%,63.82%,
7,Residual-DIM:60,93.30%,52.97%,69.37%,94.92%,96.58%,15.69%,87.26%,87.50%,86.63%,62.77%,
8,Residual-DIM:80,93.25%,64.37%,70.79%,94.19%,97.04%,16.67%,88.91%,87.50%,87.50%,65.68%,
9,Residual-DIM:100,93.54%,55.58%,72.55%,94.13%,97.33%,11.76%,90.55%,75.00%,88.49%,59.12%,
10,Residual-DIM:120,94.27%,47.51%,74.28%,92.37%,97.44%,13.73%,91.17%,75.00%,89.29%,57.15%,
11,Residual-DIM:140,95.32%,43.71%,74.59%,91.04%,97.48%,12.75%,89.96%,87.50%,89.34%,58.75%,
12,Residual-DIM:160,95.40%,44.66%,74.66%,90.31%,97.12%,20.59%,90.59%,87.50%,89.45%,60.76%,
13,Residual-DIM:180,95.94%,38.00%,74.27%,92.25%,97.25%,18.63%,90.97%,75.00%,89.61%,55.97%,
14,Residual-DIM:200,96.37%,33.73%,72.46%,92.68%,97.50%,14.71%,90.24%,87.50%,89.14%,57.15%,
15,Residual-DIM:220,93.66%,42.04%,70.92%,91.53%,96.55%,21.57%,83.30%,75.00%,86.11%,57.53%,
16,Virtual Logit-DIM:0,97.19%,22.80%,80.83%,63.20%,84.66%,73.53%,92.68%,50.00%,88.84%,52.38%,
17,Virtual Logit-DIM:20,96.30%,24.23%,75.46%,85.53%,97.01%,15.69%,91.09%,75.00%,89.97%,50.11%,
18,Virtual Logit-DIM:40,97.57%,10.21%,76.58%,80.33%,97.58%,14.71%,92.85%,50.00%,91.15%,38.81%,
19,Virtual Logit-DIM:60,97.30%,15.91%,79.06%,81.72%,97.82%,8.82%,94.26%,62.50%,92.11%,42.24%,
20,Virtual Logit-DIM:80,96.96%,14.73%,79.23%,82.32%,98.03%,10.78%,94.60%,50.00%,92.21%,39.46%,
21,Virtual Logit-DIM:100,96.79%,15.68%,79.19%,76.76%,98.19%,4.90%,94.87%,50.00%,92.26%,36.83%,
22,Virtual Logit-DIM:120,97.05%,14.96%,79.65%,71.61%,98.20%,3.92%,94.97%,25.00%,92.47%,28.87%,
23,Virtual Logit-DIM:140,97.46%,11.40%,79.62%,71.00%,98.17%,5.88%,93.93%,50.00%,92.29%,34.57%,
24,Virtual Logit-DIM:160,97.46%,13.06%,79.14%,69.31%,97.92%,12.75%,94.02%,62.50%,92.14%,39.40%,
25,Virtual Logit-DIM:180,97.67%,11.88%,79.07%,72.88%,97.97%,12.75%,94.06%,62.50%,92.20%,40.00%,
26,Virtual Logit-DIM:200,97.87%,11.88%,77.97%,78.15%,98.19%,8.82%,93.83%,62.50%,91.96%,40.34%,
27,Virtual Logit-DIM:220,96.45%,16.63%,76.69%,82.57%,97.60%,19.61%,90.18%,62.50%,90.23%,45.33%,
28,Virtual Logit-DIM:240,96.34%,24.23%,78.77%,68.52%,97.57%,10.78%,94.98%,50.00%,91.91%,38.38%,
29,Mahalanobis,94.88%,47.27%,72.69%,93.58%,97.57%,14.71%,89.70%,87.50%,88.71%,60.76%,
